;we.ep;we.eBH;wi.ep;wi.eBH;;;;;;;;;
a571e110b9846112bd27e519180a9cbe;0.537516627;0.990860737;0.545538744;0.990445942;;;;;;;;;
2d9531ead0c9fa3584cc199de49cc6ae;0.518813395;0.992232733;0.529676252;0.990458371;;;;;;;;;
df0b171fc9930362c94252e3c594e403;0.493551273;0.991624099;0.515089277;0.990464096;;;;;;;;;
05bcf2eb0adc6f686ed646933ff006f0;0.487545132;0.991797849;0.467324725;0.990468399;;;;;;;;;
5365c8e6c660c926fa9f18b549282380;0.476269391;0.992124087;0.479937526;0.990493304;;;;;;;;;
fa1a3adc5a4ed58ec45ce01f94f41320;0.494058776;0.991640176;0.51193214;0.990493342;;;;;;;;;
f618a0185ac38a1be081f393667a7e79;0.522630659;0.990947005;0.565119164;0.990494619;;;;;;;;;
3cfc3f7efa08e8a6a3cb58806a300bde;0.504188729;0.991794698;0.551678836;0.990506961;;;;;;;;;
4e98b02fb6aedd79d1237a897c1d9d92;0.506657663;0.990087969;0.533928617;0.9905208;;;;;;;;;
91b695fd8d74780187a5f5930bd90588;0.494727624;0.992398213;0.517022316;0.990548384;;;;;;;;;
bc96b9c50be76b6ed816f92c79c08431;0.347245809;0.990845936;0.157170724;0.990585096;;;;;;;;;
611ba40956346176effed5e8fa105a41;0.513161406;0.99215507;0.512003162;0.990590674;;;;;;;;;
386b73cd804dbc4f178de37c1492ce55;0.486661762;0.991571033;0.509122403;0.990638051;;;;;;;;;
18dbe36dc2b6294ae97f5888d4ae1c18;0.488378415;0.992217692;0.503207592;0.990639493;;;;;;;;;
a0df73c7ea56bbed761b7fee79d99211;0.445408535;0.991593491;0.500904977;0.990665793;;;;;;;;;
6e44deac24a4c30b88576d25ca1a7d04;0.481779011;0.991716307;0.506121452;0.99067284;;;;;;;;;
3fa8c62897d4b3a3757c365cc9fe0c56;0.49439984;0.989089865;0.543636556;0.990675301;;;;;;;;;
440c74a611e12a3137957f6613612cf9;0.405484793;0.991346468;0.482333659;0.990688797;;;;;;;;;
e7b29f81aa80fd36fc9ed9b506db2c18;0.43218245;0.991523485;0.472742377;0.990690136;;;;;;;;;
7f26e622a759c39174294fb42582a423;0.396793984;0.991083154;0.435613238;0.990707341;;;;;;;;;
81bbfe3bb81d68c4750ce82ec4294a01;0.501066203;0.990503554;0.495848866;0.990712782;;;;;;;;;
2d7b14a74364dbb5ce1f9567c5a9e73e;0.483479844;0.988561271;0.515617608;0.990734265;;;;;;;;;
7670240233d1b1aa4afb773c125d5526;0.491936907;0.992006804;0.554259757;0.990737331;;;;;;;;;
e07b4c339855b2cb00ce79ecfc115c56;0.439709596;0.986345684;0.47865044;0.990739705;;;;;;;;;
af3eb14174985f9a17a9eb32cc2005ba;0.512682752;0.991534161;0.546933811;0.990746246;;;;;;;;;
ffd53b0c52caea6c4981d25769e1cba5;0.506038539;0.992183131;0.548675635;0.990766852;;;;;;;;;
fdc1bc20b1aea85e084bba42bd5ddc60;0.487981411;0.992097499;0.521935096;0.990772978;;;;;;;;;
a1b735234df416f80ae87e915ac619dd;0.477979602;0.991737189;0.50832155;0.990783806;;;;;;;;;
d09e39bfc1dbe30bd05cbe88ca329cca;0.48851671;0.990742526;0.497414259;0.990796234;;;;;;;;;
d23a8dd2913bbe699881e506aa08ee08;0.502723165;0.992116276;0.534487801;0.990804524;;;;;;;;;
df1d2057f155d2f6c4b61d15fd688d2f;0.465405955;0.990069522;0.511918321;0.990818327;;;;;;;;;
45cdb1b0dde2ec24cf167a23802ee247;0.483717578;0.991903574;0.520522997;0.990836295;;;;;;;;;
bd92a9fe2d353e993f901b0282b5b2fb;0.451471641;0.991849355;0.489540698;0.99084113;;;;;;;;;
c58f9efd89d794d27110ede9d464b233;0.391750147;0.991240009;0.465886595;0.990862291;;;;;;;;;
85c64c8568d1b1654d7dc851ede2c889;0.459986795;0.991597528;0.471410621;0.99087199;;;;;;;;;
037ecd087908fb56981e641161221f77;0.445312958;0.991644945;0.484719187;0.990880146;;;;;;;;;
e6de3174e7e24d0db05d88d84f22465c;0.298538062;0.990732868;0.341240423;0.99088397;;;;;;;;;
1355a5e2b8bb7f21185057f228257f30;0.469368164;0.99131687;0.53796213;0.990889697;;;;;;;;;
4ad5f257d286f2108e7b19dca7b7259c;0.495094574;0.990521622;0.523366799;0.990910609;;;;;;;;;
a1e130c9c413a33d090e001c232c952c;0.488458781;0.991131168;0.526812526;0.990938164;;;;;;;;;
8654dfefe3104296f321a8243c1e863c;0.438754069;0.991575765;0.492910582;0.990945911;;;;;;;;;
704b89fec14e261f8650feba758a200c;0.470453781;0.991607653;0.48865886;0.990946163;;;;;;;;;
e35c10b99a53ab398792516febd82a51;0.475902977;0.991851715;0.49647136;0.990946542;;;;;;;;;
f1248e1eb443e88e69398aba17933c4c;0.421856174;0.990302749;0.472859677;0.990952892;;;;;;;;;
a0e5d47c294d52046a112d914bd975a7;0.486496957;0.991696913;0.517702334;0.990978139;;;;;;;;;
ca297a23424ba3e86d669acdabd9d077;0.479939374;0.99200488;0.498423038;0.990979239;;;;;;;;;
c4475efe14abeb3066461b7e1d16f377;0.54009069;0.992284173;0.558893267;0.990979736;;;;;;;;;
67765319e27b59056b827a7cff664521;0.514827189;0.990344493;0.544759423;0.990984012;;;;;;;;;
13b4fc19b429a59a38b000b6c19f9850;0.477427871;0.990972647;0.492224458;0.990991664;;;;;;;;;
fc62b8c7ff825e666dbbb47962cb19e7;0.458509008;0.986051432;0.515798861;0.99099681;;;;;;;;;
f203d29e8a7d9352b1d550677cab43a2;0.475660139;0.991840666;0.503597735;0.990997772;;;;;;;;;
f2cbca018ec82ad6682960415c67e425;0.456887962;0.991412785;0.470859471;0.991038461;;;;;;;;;
3bfcf0afe0ef9f2c5753413258863451;0.488151853;0.991914758;0.523065354;0.991047487;;;;;;;;;
536875c2e21d1cee497fb24649b56283;0.43254696;0.991269638;0.48635271;0.991051366;;;;;;;;;
c2e959f701c8c7b3175c05ccbff9c359;0.488296615;0.991974466;0.530199121;0.991056028;;;;;;;;;
62269ef474b1b47e1eca230ce48e3e57;0.450750479;0.991790419;0.454664361;0.991059668;;;;;;;;;
4dd5bfbbac745a02ebb78a35cf8334bd;0.415786354;0.991724383;0.447733379;0.991067129;;;;;;;;;
70a904bfb0b47488e3cae8a7ca22245b;0.514068224;0.991120397;0.517302872;0.991090093;;;;;;;;;
d6aa8186ce1d5a87d14d351ebf27227d;0.484942215;0.992100183;0.512705034;0.991112096;;;;;;;;;
dc0fa82c4ad6c9a54e50ea3c96fd37b4;0.492877503;0.991937713;0.516470203;0.991113371;;;;;;;;;
4af656b851a033a9fb29c1544cc6ec09;0.472592229;0.992054459;0.499733584;0.9911148;;;;;;;;;
e3628a021ef7497d973df16420adb01c;0.479789624;0.99183301;0.502410595;0.991120559;;;;;;;;;
0083c59438f5759cb6f9199dd44157ad;0.364392836;0.990418883;0.449665454;0.991121914;;;;;;;;;
e28ae0c846eb003b5d3ce0987a465b8c;0.244795015;0.990008656;0.258535582;0.991127141;;;;;;;;;
3b1882fabe2452e04e70410e610439cd;0.473191726;0.992735891;0.489032934;0.99113986;;;;;;;;;
f09e5ce896d3d2f1e67c7f85b982790b;0.519219427;0.992139471;0.515410325;0.991151073;;;;;;;;;
60f2759fa437a8db6630ba7132f159cc;0.408389724;0.991368556;0.471715922;0.991174629;;;;;;;;;
e9108a7be87e711d4d417b2304d31001;0.49507271;0.991608706;0.510997596;0.991180544;;;;;;;;;
19879a6e4612afd6441f933b4c12abaa;0.51718138;0.992207226;0.550819814;0.991198437;;;;;;;;;
6d08fa852ba6a395dbf66b330432c1d8;0.518753516;0.992196394;0.524049388;0.991202565;;;;;;;;;
b063e60628ee8054022ea364d07619d7;0.467484287;0.991977244;0.526341398;0.991203683;;;;;;;;;
afd85dfa659936b483cebeb2518e9fd8;0.506158558;0.990746448;0.510404026;0.991223759;;;;;;;;;
ab83a5577b33fdc220681c0dbc701232;0.484339345;0.991686485;0.546655826;0.991234867;;;;;;;;;
d4dfe7fa31c660b6e6245a86b54199fe;0.46681524;0.991686507;0.468568105;0.991237939;;;;;;;;;
f561a369181c70d93e8ac1575d898f37;0.487315991;0.992695472;0.478109896;0.991242394;;;;;;;;;
7b04cbcf6de062f6cef91ba6a046bba5;0.485448956;0.992265616;0.519430661;0.991257648;;;;;;;;;
ad3c85ab8ac0067f5f58360e81d6bcab;0.487259602;0.991971918;0.499957901;0.991276961;;;;;;;;;
670157136931466a2e1565ef34a266eb;0.398283195;0.991758699;0.464591153;0.991282053;;;;;;;;;
c3267bbe3eace962ba01bacb87c3b9ab;0.328131919;0.990576935;0.155788192;0.991328093;;;;;;;;;
ff52da9249f319f3caa2c562b56b4ea0;0.380856407;0.990967173;0.469164246;0.99133136;;;;;;;;;
39498d4f5ffac930bb513c9489044c39;0.518764538;0.992498205;0.56371767;0.991345085;;;;;;;;;
3924d4839f3be7e3eb22cc2bce17d98d;0.51345976;0.991779106;0.562297216;0.991346834;;;;;;;;;
d7c1c50a6dffc1a9fcf3f14af1f59fb4;0.470355345;0.991650662;0.494672974;0.991356321;;;;;;;;;
70f682fe075af1cb638f865e0cbd19f9;0.460960864;0.992287928;0.468956962;0.991358754;;;;;;;;;
