;we.ep;we.eBH;wi.ep;wi.eBH
4aa18af58556df9730b7de54e0a86dc1;0.455792346;0.992498757;0.494370886;0.997404205
230d49ff393b1da0a6a90315fcb89e05;0.478751738;0.992028474;0.494647907;0.997017628
87fdb64350b7f6ea1f5e54af9457deed;0.450928301;0.992138034;0.494699969;0.997506982
e36e30219dbbb133a346ed4eac549c15;0.435776606;0.991556534;0.49471668;0.99811683
086ca181f75644bc0f5c691d4f8bcb92;0.481291671;0.992472617;0.494724393;0.99773377
df57df40af3e5c77a37a11c6ce6b2472;0.457975231;0.99259006;0.494764886;0.99701816
65f0fba0793d7e98787f9d3c4b931be7;0.483013999;0.992973221;0.494802165;0.997337239
9c54bcdfcd34bcee69c9efb4b02b88b9;0.466611534;0.99213143;0.494908217;0.997191089
79db65466241b2ce78b307aa990a5cc0;0.486143048;0.992811201;0.494914644;0.997959692
5b25b6fd8302310df1b70748df1b753b;0.451725389;0.992758134;0.495064403;0.99773387
fa1a3adc5a4ed58ec45ce01f94f41320;0.479029564;0.992317873;0.495287433;0.997655396
4b1114aad5e655179e29d7e9ac2e27ca;0.473546824;0.988196962;0.495288076;0.991639191
329df096978e463f6104dcd5bd7835b4;0.479109258;0.991871439;0.495382559;0.998034456
c25779d93fe3d2a955bda77172fcbbf3;0.45262173;0.991915404;0.495505322;0.998039036
39e7aa8332b9ccf51efa0197e6011fa0;0.474010513;0.992366118;0.495568953;0.997579733
366eb3bfa0390ff38ce342ef0fe454a5;0.486231499;0.992314015;0.495599805;0.994806035
